Name,Isin,YahooTicker,Market,Net_Income_2021,FCF_2021,Op_Margin_2021,ROE_2021,Debt_Equity_2021,PER_2021,ROIC_2021,Net_Margin_2021,EPS_2021,Perf_2021,Price_per_share_2021,Net_Income_2022,FCF_2022,Op_Margin_2022,ROE_2022,Debt_Equity_2022,PER_2022,ROIC_2022,Net_Margin_2022,EPS_2022,Perf_2022,Price_per_share_2022,Net_Income_2023,FCF_2023,Op_Margin_2023,ROE_2023,Debt_Equity_2023,PER_2023,ROIC_2023,Net_Margin_2023,EPS_2023,Perf_2023,Price_per_share_2023,Net_Income_2024,FCF_2024,Op_Margin_2024,ROE_2024,Debt_Equity_2024,PER_2024,ROIC_2024,Net_Margin_2024,EPS_2024,Perf_2024,Price_per_share_2024,Price_per_share_2025
MPC CONTAINER SHIP,NO0010791353,MPCC.OL,Oslo Børs,189725000.0,162103000.0,0.42,0.26,0.32,10.95,0.2238673653,0.4633043877,0.46,2.823987503,6.536,434832000.0,337384000.0,0.6,0.6,0.21,8.14,0.5111221007,0.6504319939,0.98,-0.1147559298,6.679,324961000.0,231904000.0,0.57,0.43,0.17,11.89,0.3877544326,0.4427756234,0.73,0.2573965105,8.565999999999999,266683000.0,-84258000.0,0.47,0.33,0.42,25.02,0.1833772927,0.4934325072,0.6,1.045907695,17.44525,17.3865
PATRIMOINE ET COMM,FR0011027135,PAT.PA,Euronext Paris,31517000.0,20065000.0,0.67,0.08,1.05,5.8,0.03946810724,0.584514095,2.13,0.1294418085,12.3155,47806000.0,-19881000.0,0.66,0.11,1.0,4.32,0.06761301419,0.8292742159,3.17,0.01039883512,12.37825,29029000.0,21868000.0,0.66,0.07,0.95,7.87,0.03643696061,0.471464302,1.91,0.2556049105,16.085500000000003,40965000.0,29092000.0,0.63,0.09,0.89,6.96,0.06220199545,0.5922450809,2.66,0.2084221741,18.521,23.3
WALLIX,FR0010131409,ALLIX.PA,Euronext Growth Paris,-2949000.0,231000.0,-0.12,-0.13,0.12,-54.75,-0.08587059943,-0.1272821442,-0.502,0.4324942192,31.6125,-6002000.0,-2289000.0,-0.28,-0.34,0.11,-16.3,-0.3411214987,-0.2383732475,-1.013,-0.6259904762,11.31,-8534000.0,-8200000.0,-0.32,-0.56,0.59,-8.32,-0.5524154988,-0.2827700464,-1.304,-0.2235294061,9.13,-4294000.0,-4882000.0,-0.17,-0.44,0.84,-13.9,-0.2234653812,-0.1259717781,-0.645,0.0750000596,9.5675,22.875
EQUITA GROUP,IT0005312027,EQUI.MI,Euronext Milan,21511592.0,37128413.0,0.34,0.22,1.69,4.77,0.09218271734,0.2157881302,0.465978,0.6692997173,2.6712499999999997,15247383.0,-20329579.0,0.3,0.15,2.0,8.32,0.06444157454,0.1574156552,0.32,0.04740891864,2.8350000000000004,16059033.0,26255857.0,0.32,0.15,1.85,9.0,0.08134457293,0.1620553165,0.333329,0.1069300616,3.0785,14041641.0,-32830564.0,0.31,0.13,1.61,12.35,0.08291195651,0.1547262059,0.280874,0.2159550309,3.80775,5.9475
AKWEL,FR0000053027,AKW.PA,Euronext Paris,51151000.0,56814000.0,0.08,0.09,0.12,11.73,0.08461451273,0.05545220579,1.9,0.004639528687,19.33275,11080000.0,8526000.0,0.04,0.02,0.09,39.7,0.03249844866,0.01118694722,0.41,-0.2138259581,15.70975,35722000.0,6369000.0,0.06,0.06,0.08,10.49,0.05838772924,0.03350629568,1.34,-0.07582353303,14.79525,24190000.0,49628000.0,0.04,0.04,0.03,12.49,0.04153184471,0.02445632943,0.91,-0.4907164165,7.8415,8.02
Fluidra SA,ES0137650018,FDR.MC,Euronext Global Equity Market,252363000.0,271162000.0,0.17,0.16,0.72,19.89,0.1084701089,0.1137498884,1.32438,0.7634062371,29.130250000000004,159931000.0,41907000.0,0.13,0.1,0.87,21.36,0.06942198274,0.06585758659,0.84807,-0.557899776,12.996,113827000.0,364800000.0,0.12,0.07,0.85,27.0,0.06188017958,0.05463269428,0.60023,0.3632035931,17.978499999999997,138068000.0,237494000.0,0.13,0.08,0.8,28.72,0.06780092767,0.06462641394,0.72731,0.250226679,24.04575,23.6
JENOPTIK,DE000A2NB601,JEN.DE,Euronext Global Equity Market,81998000.0,51871000.0,0.11,0.11,0.78,18.86,0.07406577838,0.1092262464,1.43,0.5007282105,34.50925,55100000.0,63457000.0,0.12,0.07,0.65,25.44,0.05343747583,0.05618527477,0.96,-0.3063569345,24.58975,72466000.0,77934000.0,0.13,0.08,0.55,21.24,0.09448294089,0.06797630125,1.27,0.09607605049,27.0275,92646000.0,73120000.0,0.13,0.1,0.5,15.94,0.07507192436,0.08303197653,1.62,-0.1843263196,21.60875,19.347499999999997
Valmet Oyj,FI4000074984,VALMT.HE,Euronext Global Equity Market,296000000.0,385000000.0,0.1,0.22,0.36,13.79,0.1741214406,0.07522236341,1.98,0.6414861269,30.73025,337000000.0,-76000000.0,0.07,0.14,0.32,11.84,0.1093296952,0.06641702799,1.92,-0.3105328687,21.76025,357000000.0,227000000.0,0.08,0.14,0.58,11.95,0.100990866,0.06453362256,1.94,0.06963720855,23.62875,280000000.0,447000000.0,0.09,0.11,0.59,15.28,0.08712808116,0.05224855383,1.52,-0.05427916776,22.0435,27.58
NEPI ROCKCASTLE,NL0015000RT3,NRP.JO,Euronext Amsterdam,235004000.0,186860000.0,0.63,0.06,0.63,25533.91,0.04841380323,0.4378529547,0.3859,0.1537596103,10510.8475,435167000.0,155666000.0,0.6,0.11,0.68,13348.02,0.07455164619,0.6997795334,0.7151,-0.03859328283,10360.70675,476801000.0,173848000.0,0.6,0.11,0.61,14558.99,0.07967658769,0.6236997562,0.7518,0.2071255609,12223.30925,587565000.0,281913000.0,0.62,0.12,0.62,15353.68,0.08756806023,0.7039404323,0.875,0.093463918,14080.440750000002,14359.25
VASTNED,BE0003754687,VASTB.BR,"Euronext Brussels, Amsterdam",4092000.0,14113000.0,0.81,0.02,0.36,23.49,0.01370573311,0.2268166953,0.81,0.1737302814,18.85275,14491000.0,13184000.0,0.79,0.06,0.35,7.47,0.05162162131,0.7770389833,2.85,0.0488743529,21.09925,11289000.0,14450000.0,0.8,0.05,0.34,9.86,0.0466963612,0.5567117073,2.22,0.09700037094,23.46075,10642000.0,9237000.0,0.76,0.05,0.46,11.98,0.04635832221,0.5297953901,2.1,0.2009290003,27.1,31.0
DASSAULT AVIATION,FR0014004L86,AM.PA,Trading After Hours,605392000.0,1490046000.0,0.07,0.11,0.04,12.09,0.1127243514,0.08354616911,7.28,0.08592710144,87.40674999999999,716225000.0,4934950000.0,0.09,0.12,0.04,15.34,0.1177617963,0.1030552024,8.62,0.6653513634,150.65025,693398000.0,-1018163000.0,0.07,0.12,0.05,19.62,0.1197565312,0.1443108699,8.57,0.1302276709,173.99650000000003,923824000.0,1535184000.0,0.09,0.15,0.04,15.65,0.1456745713,0.1480556462,11.78,0.1134753324,188.906,271.8
VOLTALIA,FR0011995588,VLTSA.PA,Trading After Hours,-1323000.0,-274483000.0,0.21,0.0,1.56,-1599.38,0.07639261026,-0.003688647998,-0.013024,-0.2365049035,17.966,-7174000.0,-506833000.0,0.12,-0.01,1.07,-258.16,0.02340837174,-0.01539699744,-0.07,-0.08501963949,17.08,29632000.0,-578684000.0,0.24,0.02,1.51,60.53,0.03829816697,0.05984098679,0.229093,-0.3955916349,9.6625,-20943000.0,-337088000.0,0.12,-0.02,2.18,-52.55,0.02773840829,-0.0383093614,-0.16,-0.2790697809,7.015000000000001,7.14625
SIGNIFY NV,NL0011821392,LIGHT.AS,Trading After Hours,397000000.0,586000000.0,0.07,0.16,0.82,11.11,0.1811261852,0.05787172012,3.09,0.1922195217,31.7425,523000000.0,244000000.0,0.1,0.18,0.7,6.93,0.1984184952,0.06960340697,4.1,-0.2195395685,26.021749999999997,203000000.0,578000000.0,0.05,0.07,0.79,14.95,0.05854175071,0.03028042959,1.59,0.003402825844,25.9705,328000000.0,415000000.0,0.07,0.1,0.49,8.49,0.0918280309,0.05339410711,2.57,-0.2418975939,19.603499999999997,20.265
TIKEHAU CAPITAL,FR0013230612,TKO.PA,Euronext Paris,318653000.0,180098000.0,0.87,0.1,0.44,10.59,0.08005987929,0.700903148,2.03,-0.0507849929,20.11625,320166000.0,-553423000.0,0.75,0.1,0.48,11.62,0.07802411196,0.6395159776,1.78,0.07718201815,21.987,176674000.0,-132133000.0,0.46,0.06,0.47,20.36,0.04592829412,0.3381896629,1.03042,-0.1379722538,18.5925,155790000.0,124302000.0,0.5,0.05,0.52,22.57,0.04265092131,0.2787050653,0.906976,0.03529419928,19.45475,15.285
HAMMERSON PLC,GB00BRJQ8J25,HMSO.L,Euronext Dublin,-429100000.0,-156200000.0,0.07,-0.16,0.68,-339.02,-0.05412928155,-3.670658683,-0.98,0.4188518452,325.82899999999995,-164200000.0,33200000.0,0.24,-0.06,0.66,-802.26,-0.01605320355,-1.30420969,-0.33,-0.3096284899,234.864,-51400000.0,19600000.0,0.31,-0.02,0.68,-2591.02,0.001192777275,-0.4021909233,-0.1,0.1661772185,278.8305,-526300000.0,-150000000.0,0.23,-0.29,0.84,-265.89,0.006008557643,-4.509854327,-1.06,0.001256984493,284.82800000000003,317.25
FRAPORT,DE0005773303,FRA.DE,Euronext Global Equity Market,82800000.0,-483800000.0,0.0,0.02,0.07,62.45,0.08051346339,0.03863201605,0.89,0.2865217458,58.105,132400000.0,41000000.0,0.14,0.03,0.06,33.57,0.098725523,0.04144753318,1.43,-0.3835061814,39.60249999999999,393200000.0,-87400000.0,0.17,0.09,0.04,11.54,0.1563976086,0.09828771404,4.26,0.3662673608,55.665,450600000.0,-86800000.0,0.16,0.09,0.03,10.2,0.1569486483,0.1017845042,4.88,0.07560269049,56.1625,70.8125
Jungheinrich AG,DE0006219934,JUN3.DE,Euronext Global Equity Market,266248000.0,161324000.0,0.08,0.15,0.3,14.63,0.1343002563,0.06279707959,2.6,0.1787801961,40.0515,269168000.0,-239464000.0,0.08,0.13,0.3,9.55,0.1147112136,0.05650879412,2.63,-0.3937705981,25.295,299275000.0,337749000.0,0.08,0.13,0.42,10.17,0.1126100363,0.05396341469,2.92,0.2557980934,31.301,288993000.0,439532000.0,0.08,0.12,0.29,10.32,0.109753457,0.0535977777,2.82,-0.222631034,25.01725,34.715
IMERYS,FR0000120859,NK.PA,Trading After Hours,240100000.0,181600000.0,0.09,0.08,0.64,11.05,0.04141306949,0.0655169591,2.79,-0.0374844715,27.31825,237200000.0,45800000.0,0.09,0.07,0.69,10.3,0.03683898624,0.05539985052,2.76,0.04173993866,30.09775,51300000.0,220600000.0,0.07,0.02,0.76,48.17,0.01593862343,0.0135199241,0.6,-0.133211228,25.242,-95000000.0,109600000.0,0.07,-0.03,0.58,-25.94,0.005723484171,-0.0263530195,-1.12,0.05278695199,26.511750000000003,23.695
