Name,ISIN,Sector,Market,Currency,Industry
AGEAS,BE0974264930,Financial Services,Euronext Brussels,EUR,Insurance - Diversified
AGENCE AUTO,FR0014005WE9,Consumer Cyclical,Euronext Access Paris,EUR,Auto & Truck Dealerships
AGENCE MARIT MINNE,BE0024915838,,Euronext Expert Market,EUR,
AGFA-GEVAERT,BE0003755692,Industrials,EuroTLX,EUR,Specialty Industrial Machinery
AGILYX,NO0010872468,,Oslo Børs,NOK,
AGP MALAGA SOCIMI,ES0105478004,,Euronext Access Paris,EUR,
AGRIPOWER,FR0013452281,Utilities,Euronext Growth Paris,EUR,Utilities - Renewable
AGROGENERATION,FR0010641449,Consumer Defensive,Euronext Growth Paris,EUR,Farm Products
AHOLD DEL,NL0011794037,Consumer Defensive,EuroTLX,EUR,Grocery Stores
AIB GROUP PLC,IE00BF0L3536,Financial Services,Euronext Dublin,EUR,Banks - Regional
AIR FRANCE -KLM,FR001400J770,Industrials,"Euronext Paris, Amsterdam",EUR,Airlines
AIR LIQUIDE,FR0000120073,Basic Materials,Euronext Paris,EUR,Specialty Chemicals
AIRBUS,NL0000235190,Industrials,Trading After Hours,EUR,Aerospace & Defense
AIRTHINGS,NO0010895568,Industrials,Oslo Børs,NOK,Electrical Equipment & Parts
AIRWELL,FR0014003V77,Consumer Cyclical,Euronext Growth Paris,EUR,"Furnishings, Fixtures & Appliances"
AIXTRON,DE000A0WMPJ6,Technology,Euronext Global Equity Market,EUR,Semiconductor Equipment & Materials
AJAX,NL0000018034,Communication Services,Euronext Amsterdam,EUR,Entertainment
AKASTOR,NO0010215684,Energy,Oslo Børs,NOK,Oil & Gas Equipment & Services
AKER,NO0010234552,Industrials,Oslo Børs,NOK,Conglomerates
AKER BIOMARINE,NO0010886625,Consumer Defensive,Oslo Børs,NOK,Packaged Foods
AKER BP,NO0010345853,Energy,Oslo Børs,NOK,Oil & Gas E&P
AKER HORIZONS,NO0010921232,Utilities,Oslo Børs,NOK,Utilities - Renewable
AKER SOLUTIONS,NO0010716582,Energy,Oslo Børs,NOK,Oil & Gas Equipment & Services
AKOBO MINERALS,SE0015193412,Basic Materials,Euronext Growth Oslo,NOK,Gold
AKVA GROUP,NO0003097503,Industrials,Oslo Børs,NOK,Farm & Heavy Construction Machinery
AKWEL,FR0000053027,Consumer Cyclical,Euronext Paris,EUR,Auto Parts
AKZO NOBEL,NL0013267909,Basic Materials,Euronext Amsterdam,EUR,Specialty Chemicals
ALA,IT0005446700,Industrials,Euronext Growth Milan,EUR,Industrial Distribution
ALAN ALLMAN,FR0000062465,Industrials,Euronext Paris,EUR,Consulting Services
ALCHIMIE SA,FR0014000JX7,,Euronext Growth Paris,EUR,
Alcon,CH0432492467,Healthcare,Euronext Global Equity Market,EUR,Medical Instruments & Supplies
ALERION,IT0004720733,Utilities,Euronext Milan,EUR,Utilities - Renewable
Alfa Laval,SE0000695876,Industrials,Euronext Global Equity Market,EUR,Specialty Industrial Machinery
ALFEN,NL0012817175,Industrials,Euronext Amsterdam,EUR,Electrical Equipment & Parts
ALFIO BARDOLLA,IT0005244030,Consumer Defensive,Euronext Growth Milan,EUR,Education & Training Services
ALFONSINO,IT0005466039,Technology,Euronext Growth Milan,EUR,Software - Application
ALIAXIS,BE0941243520,,Euronext Expert Market,EUR,
ALLCORE,IT0005461303,Industrials,Euronext Growth Milan,EUR,Specialty Business Services
Allegion plc,IE00BFRT3W74,Industrials,Euronext Global Equity Market,EUR,Security & Protection Services
ALLFUNDS GROUP,GB00BNTJ3546,Financial Services,Euronext Amsterdam,EUR,Asset Management
ALLIANZ,DE0008404005,Financial Services,Trading After Hours,EUR,Insurance - Diversified
ALMAWAVE,IT0005434615,Technology,Euronext Growth Milan,EUR,Information Technology Services
ALMUNDA PRO NV,NL0010696704,Technology,Euronext Amsterdam,EUR,Information Technology Services
ALPES (COMPAGNIE),FR0000053324,Consumer Cyclical,Euronext Paris,EUR,Leisure
ALSTOM,FR0010220475,Industrials,EuroTLX,EUR,Railroads
ALTAMIR,FR0000053837,,Euronext Paris,EUR,
ALTAREA,FR0000033219,Real Estate,Trading After Hours,EUR,REIT - Residential
ALTAREIT,FR0000039216,Real Estate,Euronext Paris,EUR,Real Estate - Development
ALTEA GREEN POWER,IT0005472730,Technology,Euronext Milan,EUR,Solar
ALTEN,FR0000071946,Technology,Trading After Hours,EUR,Information Technology Services
ALTHEORA,FR0000061244,Industrials,Euronext Growth Paris,EUR,Electrical Equipment & Parts
ALTRI SGPS,PTALT0AE0002,Basic Materials,Euronext Lisbon,EUR,Paper & Paper Products
ALUMEXX N.V.,NL0012194724,Consumer Cyclical,Euronext Amsterdam,EUR,Internet Retail
ALVEEN,FR0013253812,,Euronext Access Paris,EUR,
AMA CORPORATION,GB00BNKGZC51,Healthcare,Euronext Growth Paris,EUR,Health Information Services
AMADEUS FIRE,DE0005093108,Industrials,Trading After Hours,EUR,Staffing & Employment Services
AMADEUS IT GROUP,ES0109067019,Technology,EuroTLX,EUR,Information Technology Services
AMATHEON AGRI,NL0010273694,Consumer Defensive,Euronext Access Paris,EUR,Farm Products
AMBROMOBILIARE,IT0004779515,Financial Services,Euronext Growth Milan,EUR,Capital Markets
Amcor PLC,JE00BJ1F3079,Consumer Cyclical,Euronext Global Equity Market,EUR,Packaging & Containers
AMG,NL0000888691,Basic Materials,Trading After Hours,EUR,Other Industrial Metals & Mining
AMOEBA,FR0011051598,Basic Materials,Euronext Growth Paris,EUR,Agricultural Inputs
AMPLIFON,IT0004056880,Healthcare,Trading After Hours,EUR,Medical Distribution
ams-OSRAM,AT0000A3EPA4,Technology,Euronext Global Equity Market,EUR,Semiconductors
AMUNDI,FR0004125920,Financial Services,Trading After Hours,EUR,Asset Management
ANDFJORD SALMON GR,NO0010829765,,Euronext Growth Oslo,NOK,
ANDINO GLOBAL,ES0105744009,Industrials,Euronext Access Paris,EUR,Conglomerates
ANDRITZ,AT0000730007,Industrials,Euronext Global Equity Market,EUR,Industrial Distribution
ANGLOGOLD ASHANTI,GB00BRXH2664,Basic Materials,Euronext Global Equity Market,EUR,Gold
ANIMA HOLDING,IT0004998065,Financial Services,Euronext Milan,EUR,Asset Management
ANTARES VISION,IT0005366601,,Euronext Milan,EUR,
ANTIN INFRA PARTN,FR0014005AL0,Financial Services,Trading After Hours,EUR,Asset Management
Aon PLC,IE00BLP1HW54,Financial Services,Euronext Global Equity Market,EUR,Insurance Brokers
APERAM,LU0569974404,Basic Materials,"Euronext Amsterdam, Brussels, Paris",EUR,Steel
APODACA INVERSIONE,ES0105658001,,Euronext Access Paris,EUR,
APPEAR,NO0013683821,Technology,Oslo Børs,NOK,Computer Hardware
AQUA BIO TECHNO,NO0010307135,Healthcare,Euronext Expand Oslo,NOK,Biotechnology
AQUAFIL,IT0005241192,,Euronext Milan,EUR,
AQUILA,FR0010340711,Industrials,Euronext Growth Paris,EUR,Security & Protection Services
AQUILA,GB00BK6RLF66,,Euronext Growth Dublin,EUR,
ARAMIS GROUP,FR0014003U94,,Euronext Paris,EUR,
ARCADIS,NL0006237562,Industrials,Trading After Hours,EUR,Engineering & Construction
ARCELOR MITT LUX,LU0006047129,,Euronext Expert Market,EUR,
